"","x"
"640",51
"641",48
"642",49
"643",32
"644",55
"645",58
"646",77
"647",54
"648",19
"649",22
"650",85
"651",39
"652",69
"653",51
"654",44
"655",49
"656",22
"657",21
"658",51
"659",40
"660",47
"661",27
"662",86
"663",33
"664",34
"665",78
"666",78
"667",44
"668",42
"669",21
"670",59
"671",60
"672",68
"673",28
"674",67
"675",34
"676",35
"677",81
"678",54
"679",28
"680",54
"681",48
"682",49
"683",49
"684",51
"685",20
"686",24
"687",20
"688",40
"689",48
"690",48
"691",44
"692",49
"693",42
"694",69
"695",36
"696",51
"697",24
"698",50
"699",56
"700",45
"701",65
"702",27
"703",44
"704",27
"705",33
"706",39
"707",31
"708",32
"709",25
"710",50
"711",51
"712",51
"713",21
"714",54
"715",55
"716",73
"717",47
"718",47
"719",57
"720",48
"721",75
"722",33
"723",33
"724",31
"725",49
"726",19
"727",29
"728",23
"729",50
"730",39
"731",26
"732",26
"733",43
"734",55
"735",31
"736",28
"737",52
"738",33
"739",53
"740",56
"741",68
"742",68
"743",19
"744",23
"745",24
"746",55
"747",36
"748",64
"749",50
"750",72
"751",64
"752",36
"753",60
"754",66
"755",36
"756",37
"757",71
"758",35
"759",83
"760",29
"761",18
"762",16
"763",30
"764",22
"765",22
"766",21
"767",59
"768",56
"769",45
"770",47
"771",39
"772",48
"773",41
"774",41
"775",60
"776",43
"777",39
"778",69
"779",52
"780",47
"781",38
"782",39
"783",42
"784",67
"785",25
"786",36
"787",18
"788",18
"789",36
"790",40
"791",25
"792",21
"793",35
"794",36
"795",37
"796",30
"797",25
"798",34
"799",45
"800",79
"801",20
"802",39
"803",53
"804",44
"805",52
"806",58
"807",34
"808",19
"809",51
"810",56
"811",34
"812",62
"813",24
"814",34
"815",20
"816",52
"817",34
"818",43
"819",26
"820",26
"821",76
"822",27
"823",33
"824",28
"825",31
"826",19
"827",20
"828",33
"829",47
"830",24
"831",64
"832",63
"833",40
"834",18
"835",29
"836",52
"837",32
"838",41
"839",39
"840",48
"841",69
"842",80
"843",79
"844",52
"845",24
"846",27
"847",59
"848",52
"849",22
"850",72
"851",32
"852",33
"853",23
"854",54
"855",16
"856",59
"857",35
"858",43
"859",20
"860",54
"861",33
"862",33
"863",19
