"","x"
"640",48
"641",49
"642",32
"643",55
"644",58
"645",77
"646",54
"647",19
"648",22
"649",85
"650",39
"651",69
"652",51
"653",44
"654",49
"655",22
"656",21
"657",51
"658",40
"659",47
"660",27
"661",86
"662",33
"663",34
"664",78
"665",78
"666",44
"667",42
"668",21
"669",59
"670",60
"671",68
"672",28
"673",67
"674",34
